batting_team,bowling_team,current_over,current_score,wickets_lost,target_over,target_score
SRH,RCB,14,90,6,18,112
MI,RCB,13,88,1,14,98
KKR,MI,5,34,2,19,159
CSK,RCB,12,88,6,18,140
CSK,RR,15,120,7,18,138
PBKS,RR,11,81,7,15,100
RCB,KKR,12,80,3,19,142
RCB,KKR,15,134,1,16,143
GT,RCB,11,107,1,15,145
PBKS,DC,13,110,4,17,151
SRH,LSG,7,62,1,9,94
RCB,SRH,14,87,8,19,127
RR,SRH,12,88,4,14,108
SRH,PBKS,10,95,5,14,131
MI,DC,9,65,7,14,93
KKR,CSK,14,89,1,15,101
MI,GT,14,102,8,16,114
KKR,RCB,10,79,8,13,95
PBKS,LSG,11,94,0,12,106
GT,SRH,13,98,4,15,122
PBKS,LSG,13,120,9,16,136
MI,CSK,8,64,5,10,79
DC,KKR,5,30,0,19,160
RR,MI,12,100,1,15,137
MI,RCB,8,58,4,16,119
PBKS,LSG,11,103,3,13,117
MI,CSK,12,83,8,13,87
PBKS,DC,5,31,1,15,121
CSK,DC,14,119,4,16,133
RR,SRH,10,82,2,19,190
MI,LSG,11,98,3,15,140
GT,LSG,6,51,3,9,90
DC,KKR,9,79,4,15,121
LSG,DC,15,147,9,16,153
DC,MI,15,131,1,20,205
MI,GT,14,90,8,19,116
DC,RR,5,37,1,11,130
LSG,RCB,6,53,2,15,176
SRH,LSG,11,83,4,18,156
RR,MI,11,97,7,15,121
SRH,RCB,7,47,2,12,111
CSK,RCB,6,46,3,15,130
LSG,RR,14,110,4,15,122
MI,RR,6,56,2,8,85
RCB,CSK,7,48,2,16,178
DC,MI,13,101,8,17,124
PBKS,MI,12,89,2,14,108
LSG,SRH,15,93,1,20,163
PBKS,SRH,10,79,2,14,132
LSG,MI,12,116,9,16,134
RCB,RR,14,121,6,18,145
KKR,RCB,7,44,4,16,127
GT,DC,11,74,0,13,99
DC,RR,11,79,8,17,126
MI,KKR,5,43,1,16,201
RR,CSK,7,67,1,15,141
MI,CSK,10,92,6,15,124
RCB,LSG,14,87,4,20,150
GT,RR,11,107,6,19,161
PBKS,RCB,11,107,6,19,171
PBKS,KKR,12,114,1,16,173
MI,RCB,5,38,0,14,131
RR,PBKS,7,53,5,14,101
KKR,RR,10,82,3,20,221
PBKS,CSK,12,77,5,13,84
CSK,PBKS,7,48,2,16,180
SRH,RCB,15,149,0,19,220
DC,KKR,10,64,0,20,230
PBKS,SRH,11,83,7,19,123
SRH,PBKS,13,84,4,20,160
SRH,KKR,8,66,1,19,215
DC,RR,15,112,1,19,167
MI,CSK,12,93,4,14,109
LSG,SRH,8,65,3,18,151
RR,CSK,10,84,1,20,191
DC,LSG,9,59,6,18,111
CSK,RCB,10,82,8,13,98
CSK,RCB,7,56,4,12,98
GT,SRH,12,119,7,14,136
CSK,MI,14,110,5,20,156
DC,KKR,15,132,0,18,172
RR,LSG,6,49,0,14,188
KKR,GT,5,34,2,16,197
MI,CSK,9,61,5,13,107
DC,GT,12,116,2,18,199
GT,PBKS,8,52,6,16,132
MI,SRH,9,78,6,16,127
KKR,LSG,15,94,1,18,138
MI,RCB,5,31,1,12,137
CSK,SRH,9,56,0,18,201
PBKS,DC,12,100,4,16,131
CSK,DC,6,54,3,7,67
MI,CSK,12,99,2,13,112
RCB,RR,14,98,1,16,127
RR,CSK,5,44,4,16,170
CSK,GT,8,79,6,20,156
KKR,RR,6,55,2,11,94
PBKS,GT,14,133,4,17,163
SRH,RCB,6,43,0,12,141
KKR,RCB,6,38,3,15,144
DC,LSG,6,47,2,12,135
KKR,CSK,11,96,0,12,108
RR,GT,7,48,2,19,233
CSK,RCB,11,84,4,19,160
RCB,GT,11,100,8,16,133
LSG,CSK,8,50,2,10,73
RCB,PBKS,12,111,6,20,183
DC,RR,12,86,0,18,187
DC,KKR,5,48,2,13,169
RCB,RR,11,100,5,12,106
GT,KKR,14,98,8,18,124
CSK,KKR,11,82,1,20,176
MI,PBKS,12,112,9,20,155
LSG,RCB,12,74,0,18,159
RR,KKR,5,39,4,11,110
DC,PBKS,9,70,7,15,100
CSK,RCB,14,107,4,19,142
PBKS,SRH,13,81,5,14,90
RCB,LSG,15,127,3,16,140
DC,MI,15,111,4,17,136
RR,LSG,6,48,0,17,216
CSK,PBKS,12,105,8,15,122
DC,GT,14,112,0,18,181
SRH,KKR,5,34,2,11,116
DC,MI,7,57,1,11,116
RCB,RR,5,30,1,8,76
SRH,MI,11,82,2,18,152
CSK,KKR,9,75,2,13,108
RCB,DC,9,73,0,19,188
PBKS,RCB,15,125,7,17,135
PBKS,SRH,13,119,1,18,200
GT,CSK,10,73,8,17,130
RR,LSG,14,92,5,19,127
RCB,KKR,10,83,6,11,90
CSK,KKR,9,83,1,19,193
CSK,RR,13,93,9,15,101
LSG,GT,10,62,2,14,95
KKR,CSK,11,95,7,20,154
CSK,MI,11,75,4,16,135
CSK,LSG,6,56,1,8,87
RCB,DC,11,99,1,19,178
RR,CSK,10,81,4,12,102
SRH,MI,5,42,3,14,114
RCB,MI,8,62,0,16,144
RCB,RR,8,51,5,9,57
SRH,CSK,6,43,3,20,216
SRH,CSK,13,124,1,17,162
GT,RCB,8,57,4,10,73
RCB,PBKS,15,126,3,16,133
PBKS,RR,6,39,2,11,98
KKR,SRH,8,71,1,17,155
DC,KKR,10,61,0,11,74
GT,PBKS,10,87,3,13,116
MI,RR,14,96,8,17,115
RCB,PBKS,14,110,7,17,136
SRH,GT,11,99,8,14,122
MI,KKR,5,32,4,7,54
MI,CSK,6,47,2,15,178
SRH,DC,12,109,3,19,193
RCB,GT,14,133,8,20,179
RR,GT,11,70,7,17,109
GT,RR,11,100,7,18,164
KKR,CSK,15,97,9,17,107
RCB,KKR,5,42,0,19,236
SRH,CSK,10,92,1,14,134
RCB,GT,11,108,5,20,209
PBKS,RCB,7,59,2,20,216
CSK,SRH,7,60,0,10,100
GT,CSK,13,114,7,16,136
DC,MI,10,97,2,20,248
GT,SRH,10,67,6,14,107
PBKS,GT,7,44,3,17,164
RR,GT,14,133,9,15,138
RCB,LSG,8,73,1,10,103
LSG,RR,12,111,9,16,135
RCB,SRH,15,146,2,16,156
LSG,PBKS,11,96,3,18,171
SRH,GT,5,47,2,12,139
SRH,MI,6,52,0,19,260
RCB,SRH,10,69,6,20,132
RCB,CSK,9,79,1,19,166
RCB,RR,13,82,1,20,170
SRH,LSG,10,68,0,19,181
MI,LSG,11,97,3,14,119
GT,SRH,8,48,1,12,109
CSK,LSG,12,86,9,15,103
RR,GT,5,36,0,9,85
GT,KKR,11,72,2,19,195
SRH,KKR,6,46,4,10,90
MI,SRH,10,63,2,18,175
RCB,PBKS,6,43,4,17,176
LSG,CSK,8,78,6,17,139
RCB,PBKS,11,107,4,19,168
PBKS,MI,7,60,3,12,97
CSK,KKR,11,90,4,19,174
RR,GT,5,35,2,11,118
KKR,SRH,11,99,2,19,199
KKR,SRH,8,68,0,9,85
MI,RR,14,98,1,15,107
LSG,KKR,11,85,4,14,115
GT,DC,10,85,6,19,140
GT,DC,11,99,2,17,171
SRH,MI,10,78,6,13,104
LSG,MI,15,133,1,18,166
MI,KKR,8,52,5,18,132
DC,RCB,14,111,6,17,142
CSK,PBKS,5,39,3,10,89
DC,GT,8,71,4,14,125
LSG,RR,6,59,4,11,102
DC,RR,13,112,7,15,126
GT,RCB,6,37,1,11,90
DC,CSK,6,45,3,13,99
LSG,DC,13,121,4,18,182
PBKS,LSG,6,37,0,11,99
GT,RCB,8,59,6,10,79
CSK,KKR,13,113,0,19,218
SRH,RCB,5,42,0,6,57
LSG,MI,8,60,1,20,210
RCB,LSG,9,87,4,15,155
PBKS,GT,9,69,3,12,98
PBKS,DC,8,62,0,9,76
CSK,RCB,13,90,4,19,142
DC,SRH,10,73,2,15,138
PBKS,LSG,12,99,0,14,130
GT,MI,10,82,6,16,127
SRH,DC,12,74,9,13,78
SRH,MI,6,59,0,14,161
CSK,DC,10,73,5,18,129
CSK,RCB,6,47,2,13,124
PBKS,KKR,5,30,1,14,150
MI,GT,8,66,1,15,157
RCB,LSG,8,77,4,9,86
SRH,RCB,5,35,0,20,209
RR,PBKS,11,91,7,13,108
KKR,DC,15,148,7,20,193
RCB,MI,5,31,0,14,115
DC,CSK,13,123,6,18,158
RR,SRH,6,43,3,20,219
DC,MI,7,59,1,13,126
DC,SRH,14,119,4,15,128
RR,LSG,9,55,2,13,102
SRH,GT,5,49,3,18,188
GT,CSK,8,68,6,10,84
KKR,CSK,14,133,9,16,145
CSK,SRH,11,89,0,19,201
RR,SRH,15,92,3,18,130
RR,RCB,7,52,3,10,91
DC,LSG,8,60,1,16,194
GT,LSG,10,74,0,11,86
KKR,CSK,15,106,2,18,130
SRH,MI,12,78,0,20,218
SRH,RR,9,76,7,19,141
LSG,DC,12,112,8,14,121
RCB,MI,9,57,4,18,156
RR,SRH,9,56,6,15,116
MI,CSK,13,108,4,15,126
SRH,DC,11,107,7,19,154
SRH,CSK,12,97,3,18,146
GT,LSG,9,54,6,10,64
PBKS,KKR,10,97,6,13,120
MI,DC,11,89,8,18,138
LSG,GT,6,36,2,10,93
MI,KKR,7,59,0,15,140
MI,CSK,10,95,0,15,153
LSG,KKR,11,74,6,15,100
LSG,RR,11,106,8,16,143
CSK,RCB,12,98,9,19,144
PBKS,LSG,8,51,2,11,75
SRH,RR,12,89,2,20,183
LSG,DC,10,92,3,20,200
GT,PBKS,12,86,0,13,99
DC,SRH,11,84,3,14,109
RCB,LSG,5,42,4,7,64
DC,RCB,15,125,8,18,146
DC,GT,12,94,5,17,139
RR,GT,5,35,4,10,90
MI,KKR,6,53,2,13,130
SRH,CSK,9,63,3,20,212
SRH,RCB,8,61,1,20,165
SRH,GT,13,92,3,14,105
GT,RR,7,47,0,20,172
CSK,KKR,14,106,7,20,146
PBKS,KKR,5,34,1,7,58
KKR,RR,9,56,3,19,167
RR,MI,11,83,0,16,158
KKR,GT,12,100,7,17,125
RR,KKR,9,54,1,15,115
PBKS,GT,14,115,1,20,169
MI,RR,8,74,2,20,190
RR,CSK,10,95,0,11,108
DC,SRH,8,49,3,15,133
DC,RR,12,87,2,18,162
MI,LSG,12,114,7,13,119
PBKS,SRH,7,51,2,17,176
CSK,SRH,5,34,1,17,191
DC,RR,13,116,6,19,159
KKR,CSK,13,119,4,20,191
LSG,CSK,7,58,2,8,68
PBKS,DC,15,123,9,19,148
MI,LSG,10,89,3,14,130
RR,RCB,15,123,8,16,128
CSK,KKR,7,69,5,19,145
SRH,CSK,12,96,0,19,216
SRH,CSK,6,54,3,14,129
GT,KKR,14,104,8,19,144
RCB,DC,14,118,5,15,126
CSK,GT,15,148,6,18,175
GT,RCB,10,87,8,17,130
RR,KKR,15,119,6,19,157
DC,RCB,7,55,1,11,93
RCB,SRH,6,46,0,12,108
SRH,DC,9,60,7,19,144
CSK,GT,5,37,3,17,142
RR,SRH,8,53,1,17,158
LSG,SRH,12,94,3,18,141
KKR,RR,7,58,1,15,149
PBKS,RR,14,106,7,17,124
DC,SRH,10,78,6,19,134
RR,RCB,6,39,3,7,47
PBKS,RR,6,47,3,20,174
PBKS,DC,14,90,8,20,119
GT,PBKS,15,120,0,19,179
RCB,SRH,11,97,6,12,107
MI,LSG,7,63,4,13,103
GT,MI,6,38,0,20,216
SRH,LSG,5,44,1,15,137
PBKS,GT,14,137,9,17,153
CSK,MI,5,38,4,11,104
SRH,MI,6,47,2,19,186
RCB,MI,13,118,8,20,150
SRH,RR,11,106,4,18,155
SRH,GT,7,56,1,16,147
RR,MI,11,97,2,16,138
PBKS,GT,13,124,7,18,152
PBKS,LSG,10,80,6,14,110
LSG,RR,9,60,0,18,150
KKR,CSK,14,113,7,16,123
KKR,DC,13,129,6,15,139
KKR,LSG,10,60,2,17,124
RR,DC,8,62,3,16,145
GT,LSG,10,77,4,15,142
MI,RR,15,144,6,20,192
GT,CSK,15,106,2,20,152
CSK,PBKS,6,52,2,8,80
RCB,DC,9,83,3,14,135
LSG,GT,10,89,2,16,135
RCB,RR,15,135,8,16,140
KKR,SRH,13,128,9,15,141
CSK,MI,9,86,6,18,183
CSK,PBKS,10,75,0,13,124
KKR,DC,8,54,4,19,198
KKR,GT,13,97,8,17,115
MI,RCB,6,44,0,9,75
GT,CSK,8,74,2,17,160
SRH,GT,11,95,0,15,163
MI,CSK,10,60,5,19,132
MI,RCB,13,126,0,20,233
MI,RR,13,79,8,20,118
RR,LSG,14,106,6,18,127
DC,LSG,11,73,2,14,110
CSK,RR,10,85,7,16,129
RR,SRH,14,112,6,18,136
CSK,LSG,7,42,1,13,103
RCB,GT,12,80,1,20,192
DC,GT,5,46,4,7,70
KKR,GT,5,36,0,20,284
PBKS,CSK,15,133,5,20,181
CSK,LSG,9,59,1,13,106
GT,LSG,7,61,2,8,72
GT,RR,11,76,6,17,118
RR,SRH,5,30,2,8,56
KKR,RR,13,84,1,19,168
MI,SRH,8,67,2,20,167
KKR,DC,6,42,0,7,59
RR,GT,9,70,0,20,172
SRH,GT,8,70,5,20,191
LSG,MI,10,98,2,20,176
SRH,LSG,5,41,0,11,143
MI,GT,12,73,9,17,100
SRH,CSK,12,89,6,13,98
GT,RR,6,50,4,10,91
GT,PBKS,14,112,1,17,155
LSG,MI,12,82,8,19,132
MI,LSG,14,94,7,16,106
RCB,KKR,13,114,8,17,137
RR,LSG,9,69,6,10,75
PBKS,RCB,7,68,1,8,83
MI,CSK,11,87,8,17,119
LSG,RR,13,111,0,19,193
GT,LSG,8,57,2,17,184
SRH,RCB,9,84,2,10,92
MI,KKR,10,94,6,19,164
MI,RR,8,65,6,14,129
GT,SRH,8,71,2,9,84
LSG,PBKS,6,41,1,12,111
CSK,KKR,5,38,3,17,165
CSK,DC,11,101,4,17,160
RR,GT,10,83,3,13,111
PBKS,SRH,12,114,2,17,159
CSK,LSG,7,60,5,19,186
GT,LSG,10,75,8,16,124
CSK,PBKS,6,45,0,16,137
MI,KKR,13,78,8,15,89
LSG,CSK,6,53,1,16,165
GT,RCB,14,88,1,16,116
LSG,RR,9,79,0,11,107
PBKS,MI,5,40,2,10,97
GT,RCB,13,100,3,15,125
DC,RCB,9,71,4,20,168
RCB,RR,12,89,3,13,97
RCB,PBKS,9,68,3,13,115
RCB,CSK,11,105,3,20,183
CSK,KKR,11,92,5,14,114
LSG,RCB,5,34,2,7,52
LSG,DC,11,109,0,19,202
RCB,RR,12,106,8,20,168
MI,CSK,14,109,9,17,124
LSG,PBKS,5,40,4,13,145
SRH,GT,6,56,2,17,142
PBKS,RR,11,100,2,19,180
SRH,RCB,10,67,2,12,90
PBKS,LSG,6,52,0,11,110
MI,LSG,5,48,1,8,75
PBKS,RCB,10,83,7,15,112
DC,KKR,12,96,3,17,155
KKR,MI,15,114,2,16,128
LSG,RR,8,71,6,16,131
GT,MI,12,90,9,13,95
DC,RR,6,54,1,19,201
GT,KKR,12,104,4,13,111
GT,SRH,5,39,3,16,142
RCB,KKR,13,121,8,17,142
RCB,SRH,10,73,7,11,78
PBKS,RR,11,85,4,16,132
PBKS,SRH,14,89,0,15,106
SRH,RR,13,83,3,20,135
MI,RCB,14,125,8,17,141
GT,RCB,5,47,1,20,208
GT,LSG,7,59,1,10,90
KKR,CSK,14,129,5,20,190
RR,GT,10,69,4,12,86
KKR,CSK,5,43,1,11,140
GT,RCB,13,123,5,17,160
DC,KKR,10,83,4,17,137
KKR,DC,14,111,4,19,173
CSK,SRH,15,94,4,20,137
SRH,RR,13,108,9,14,112
GT,CSK,6,45,0,14,145
MI,KKR,14,131,7,19,155
RCB,GT,14,105,7,15,112
PBKS,MI,11,67,5,17,104
PBKS,LSG,14,93,9,15,98
KKR,CSK,7,56,3,8,64
CSK,RCB,15,97,0,20,157
RCB,LSG,9,80,4,17,155
SRH,GT,15,109,9,17,118
MI,DC,14,91,0,16,113
CSK,RCB,8,62,4,12,97
PBKS,RCB,10,70,6,18,148
CSK,RR,12,73,2,16,117
DC,GT,14,86,8,17,99
KKR,RCB,5,38,0,7,62
KKR,GT,13,114,2,18,175
GT,PBKS,6,49,1,12,133
DC,SRH,9,64,3,18,190
GT,PBKS,12,95,1,16,130
GT,MI,14,94,4,18,129
RR,CSK,6,45,2,12,133
KKR,RR,11,106,7,17,144
PBKS,RR,10,66,5,11,77
CSK,MI,10,99,5,15,151
RCB,GT,9,88,5,19,154
RR,RCB,5,44,4,12,132
CSK,KKR,11,75,1,16,157
DC,MI,15,121,3,16,132
LSG,RR,10,68,8,19,135
PBKS,SRH,6,52,1,14,148
LSG,RCB,6,51,2,9,80
SRH,PBKS,6,41,3,18,193
MI,DC,11,83,1,18,148
LSG,KKR,9,66,7,20,155
KKR,SRH,8,79,1,14,146
MI,CSK,12,112,2,17,164
LSG,MI,5,37,1,15,144
LSG,GT,6,37,3,12,94
RCB,MI,6,57,4,17,169
SRH,PBKS,13,118,9,17,140
GT,DC,5,49,4,10,100
PBKS,DC,6,58,1,20,256
GT,RCB,13,103,3,16,143
SRH,RR,5,33,4,20,174
GT,RCB,12,105,9,19,131
SRH,KKR,13,102,3,18,150
RR,GT,13,113,5,16,137
SRH,KKR,12,114,5,13,125
MI,SRH,14,120,0,19,167
GT,RR,14,136,2,19,191
DC,RCB,14,84,5,16,105
LSG,GT,15,143,8,17,156
MI,PBKS,6,52,2,17,163
PBKS,SRH,14,95,3,18,133
GT,LSG,15,118,5,17,139
DC,PBKS,12,112,9,17,147
PBKS,SRH,8,79,0,17,174
RCB,DC,14,109,5,18,136
DC,PBKS,7,45,1,16,169
LSG,DC,15,127,3,17,149
DC,CSK,15,127,6,17,140
PBKS,KKR,13,87,7,18,117
RCB,DC,13,108,8,19,145
SRH,RR,8,51,5,17,148
DC,LSG,10,82,8,18,117
CSK,RCB,14,134,2,16,161
PBKS,SRH,8,71,6,12,108
KKR,DC,14,133,2,16,161
LSG,CSK,9,82,5,15,131
CSK,KKR,14,102,5,19,134
DC,MI,5,43,0,10,91
LSG,RCB,7,54,3,8,65
GT,PBKS,7,68,4,10,101
GT,PBKS,6,53,0,9,96
PBKS,RR,6,37,4,17,173
SRH,RCB,9,79,5,11,98
PBKS,CSK,14,118,3,17,139
SRH,MI,14,125,0,18,169
LSG,MI,11,84,1,15,117
LSG,RCB,11,78,6,18,132
LSG,RR,11,106,2,12,117
DC,LSG,9,55,0,11,73
KKR,CSK,15,147,8,17,158
PBKS,SRH,15,90,4,16,97
LSG,CSK,8,77,0,14,147
MI,PBKS,12,80,0,19,190
KKR,MI,5,39,4,9,70
GT,CSK,6,51,4,9,89
SRH,KKR,14,116,1,20,206
CSK,MI,6,36,1,11,105
MI,RR,7,43,4,11,89
GT,CSK,14,105,0,17,145
DC,MI,6,38,3,20,152
SRH,KKR,6,49,2,10,91
GT,PBKS,14,101,4,20,147
DC,RR,12,94,4,20,149
GT,PBKS,8,48,3,20,160
RCB,LSG,6,42,0,12,104
GT,MI,15,112,1,20,181
RR,KKR,13,116,5,14,123
MI,RR,8,69,2,9,81
CSK,GT,13,118,1,14,130
SRH,PBKS,11,106,4,15,134
GT,LSG,9,57,4,15,103
RCB,RR,5,33,3,10,71
GT,CSK,6,51,1,10,88
RCB,PBKS,7,58,3,19,163
SRH,DC,12,80,2,20,157
RR,LSG,11,78,7,17,130
KKR,SRH,7,58,2,18,185
PBKS,RCB,10,61,3,20,160
MI,DC,15,149,6,20,192
GT,LSG,12,87,0,14,112
RCB,PBKS,13,87,9,20,121
PBKS,KKR,9,69,4,13,105
KKR,MI,5,34,3,6,45
KKR,MI,7,59,5,15,118
CSK,SRH,12,109,3,19,179
PBKS,RR,7,67,1,11,121
SRH,RCB,10,93,2,20,172
RR,SRH,6,50,3,12,111
GT,LSG,12,98,3,18,163
GT,LSG,11,87,8,18,127
LSG,DC,11,107,2,19,194
PBKS,MI,7,66,3,17,174
PBKS,CSK,6,48,2,20,189
PBKS,CSK,14,125,6,15,135
DC,GT,11,68,5,18,137
PBKS,CSK,5,31,3,16,131
PBKS,CSK,9,67,4,13,110
LSG,RCB,8,60,4,11,93
DC,CSK,11,67,5,17,137
GT,LSG,5,34,3,16,150
SRH,PBKS,12,97,8,16,114
PBKS,GT,14,121,8,19,159
RCB,KKR,7,55,5,16,135
CSK,RR,8,57,3,17,136
GT,RCB,8,64,0,9,73
RR,PBKS,15,128,6,19,167
GT,LSG,5,41,3,9,80
DC,CSK,11,107,7,16,151
GT,RR,14,122,8,18,139
RCB,MI,14,118,7,17,139
MI,RCB,6,55,3,17,158
CSK,SRH,10,98,1,18,191
CSK,DC,15,149,6,17,160
KKR,CSK,6,49,3,16,137
RCB,LSG,15,129,8,17,144
CSK,GT,8,63,2,13,110
RCB,CSK,14,135,9,16,145
MI,DC,7,67,2,14,136
RCB,CSK,15,108,1,17,137
DC,RR,10,79,1,16,148
KKR,RR,11,76,3,13,96
RR,KKR,10,68,1,20,161
LSG,DC,10,69,2,20,185
RR,LSG,9,89,6,12,113
PBKS,LSG,12,80,0,18,177
MI,RCB,14,126,1,17,172
KKR,RCB,13,115,1,20,196
RCB,LSG,8,78,0,19,213
CSK,SRH,14,111,5,19,159
RCB,CSK,8,49,4,16,139
RR,SRH,11,68,8,17,106
CSK,MI,8,73,3,17,200
CSK,KKR,7,57,5,18,157
GT,PBKS,9,72,0,10,84
PBKS,RCB,5,34,4,17,129
MI,LSG,9,56,3,19,135
KKR,DC,15,140,3,16,148
RR,DC,13,122,9,18,155
DC,SRH,12,114,0,18,219
CSK,MI,14,123,0,15,138
RR,GT,7,42,2,17,127
LSG,PBKS,9,63,1,11,86
CSK,LSG,15,133,6,20,178
RR,SRH,15,123,2,19,179
LSG,CSK,11,101,3,12,112
DC,MI,11,90,6,16,138
GT,PBKS,5,44,2,13,110
CSK,SRH,10,93,7,12,111
CSK,RR,7,43,4,15,97
KKR,LSG,15,92,9,18,103
RR,DC,15,139,9,17,151
GT,MI,12,80,2,15,104
RCB,RR,6,39,0,10,101
RR,MI,12,93,9,15,108
MI,PBKS,11,108,1,18,194
LSG,CSK,7,59,5,16,164
RR,SRH,8,68,3,9,81
RCB,SRH,10,95,4,14,141
RR,RCB,14,130,7,18,153
RCB,KKR,9,56,5,11,79
LSG,RR,7,50,1,11,95
GT,MI,13,110,4,17,145
PBKS,SRH,6,50,4,13,136
KKR,MI,11,70,7,18,114
MI,SRH,15,130,0,19,197
GT,DC,6,58,3,17,210
RCB,GT,5,49,1,20,215
KKR,DC,12,113,5,18,159
MI,DC,10,91,7,12,108
KKR,PBKS,9,60,7,19,148
LSG,CSK,10,69,7,16,125
GT,LSG,14,105,5,17,136
PBKS,KKR,7,47,0,13,114
SRH,MI,13,86,8,17,111
MI,CSK,13,129,6,19,162
CSK,GT,14,129,8,19,154
PBKS,KKR,6,37,0,20,203
KKR,PBKS,7,62,3,8,72
LSG,KKR,13,78,0,17,143
LSG,RCB,9,78,3,12,106
MI,GT,11,86,8,14,102
MI,CSK,13,122,3,20,210
RCB,KKR,8,71,5,18,175
RCB,LSG,15,111,8,18,128
GT,RCB,7,48,4,20,148
CSK,DC,12,109,2,16,150
KKR,DC,9,62,5,16,114
DC,CSK,8,66,0,18,228
DC,RR,15,144,5,19,183
DC,RCB,5,30,2,20,182
RCB,MI,12,109,7,17,152
RR,CSK,14,107,9,17,128
LSG,SRH,14,93,5,17,125
RR,SRH,15,116,6,20,160
MI,KKR,7,50,1,16,188
MI,KKR,14,122,6,20,154
RCB,LSG,13,129,0,16,161
SRH,DC,5,37,4,15,110
PBKS,KKR,6,57,1,8,77
MI,CSK,7,68,0,12,134
KKR,CSK,5,42,2,12,117
GT,KKR,14,97,6,18,123
PBKS,MI,12,118,2,14,142
MI,PBKS,15,124,0,16,139
RCB,SRH,10,76,1,12,101
LSG,RR,14,125,2,19,183
LSG,MI,11,73,5,17,124
RR,PBKS,6,53,4,9,77
GT,MI,5,46,3,17,188
MI,SRH,7,50,0,13,121
SRH,LSG,7,65,0,17,188
RR,GT,14,125,5,15,133
RR,KKR,8,64,2,12,102
SRH,LSG,12,93,9,14,101
KKR,PBKS,8,67,3,15,158
CSK,MI,6,47,3,16,125
GT,RCB,10,91,5,11,99
DC,SRH,10,91,6,12,107
RR,GT,6,50,2,12,115
GT,DC,6,48,0,14,154
MI,LSG,14,94,6,19,145
PBKS,DC,5,34,0,20,266
DC,RCB,10,91,0,12,116
LSG,KKR,13,107,5,20,175
RR,KKR,14,120,2,15,131
PBKS,DC,15,128,5,17,142
DC,CSK,15,94,1,20,177
MI,PBKS,14,97,9,15,103
KKR,SRH,6,55,4,12,113
PBKS,MI,11,99,5,20,180
RR,DC,5,34,3,7,51
CSK,KKR,13,108,1,18,170
RCB,PBKS,10,65,0,13,94
KKR,RR,13,128,1,16,170
RCB,LSG,14,121,2,15,129
GT,SRH,9,67,2,20,200
PBKS,RCB,9,68,4,13,98
MI,KKR,12,89,6,18,126
LSG,DC,6,54,1,7,67
KKR,RR,12,108,2,20,200
CSK,LSG,12,115,8,19,151
MI,DC,11,80,0,19,222
KKR,CSK,12,110,7,14,128
LSG,DC,14,92,8,19,125
KKR,DC,15,126,4,18,165
PBKS,LSG,14,101,8,17,113
RCB,MI,9,75,4,14,132
RCB,CSK,8,64,1,9,80
MI,DC,10,92,8,18,138
MI,LSG,11,66,3,14,95
CSK,RCB,11,87,0,13,120
LSG,RR,11,95,7,19,136
MI,LSG,12,102,4,17,144
DC,MI,6,53,4,9,91
MI,RCB,8,74,6,20,174
CSK,RCB,15,143,1,16,156
CSK,MI,5,42,3,14,138
CSK,KKR,13,93,4,17,139
PBKS,RR,14,118,4,19,157
DC,PBKS,11,95,5,13,115
GT,DC,8,72,4,10,96
PBKS,RCB,8,68,0,18,207
SRH,RCB,8,52,6,20,175
RR,GT,6,57,3,15,159
KKR,RCB,7,44,1,17,132
SRH,CSK,12,83,1,13,98
DC,RR,8,53,6,19,168
CSK,GT,14,92,6,15,101
GT,KKR,9,84,5,19,163
LSG,SRH,5,32,1,15,136
LSG,GT,5,39,3,16,153
LSG,SRH,7,63,4,17,176
RCB,RR,10,82,3,12,96
GT,PBKS,14,135,5,17,161
RR,KKR,14,132,5,19,175
DC,PBKS,11,71,2,13,89
MI,KKR,10,83,4,12,98
CSK,KKR,15,110,6,18,131
LSG,PBKS,6,41,1,15,121
PBKS,KKR,6,40,2,14,108
LSG,CSK,6,51,4,10,100
LSG,KKR,13,106,0,20,209
KKR,PBKS,15,95,5,18,118
GT,CSK,15,105,1,17,137
KKR,DC,11,88,7,20,131
PBKS,KKR,10,84,6,16,142
DC,LSG,12,109,8,16,132
RR,DC,15,148,7,20,193
PBKS,MI,11,98,8,14,117
KKR,DC,8,58,0,19,182
MI,GT,14,108,4,19,171
PBKS,LSG,5,40,4,17,157
CSK,KKR,14,110,6,18,146
SRH,PBKS,8,73,3,14,150
MI,RR,15,111,5,19,152
DC,PBKS,10,72,4,11,81
PBKS,GT,15,99,1,20,175
KKR,LSG,7,55,3,14,125
DC,PBKS,13,100,9,20,131
CSK,SRH,12,112,8,15,129
LSG,CSK,5,38,1,8,69
PBKS,LSG,12,102,3,13,111
RR,PBKS,9,88,7,15,121
RCB,DC,9,87,2,19,240
GT,MI,10,64,1,20,203
GT,CSK,14,98,0,20,166
DC,CSK,5,42,3,14,121
CSK,KKR,8,61,2,9,74
PBKS,KKR,5,49,3,10,98
RR,LSG,14,135,5,15,143
MI,RCB,6,59,2,19,161
KKR,GT,12,114,0,19,239
PBKS,SRH,14,135,7,20,168
LSG,PBKS,8,78,6,18,147
RCB,KKR,8,76,4,13,125
DC,SRH,13,102,9,19,123
RCB,GT,8,63,4,16,131
SRH,PBKS,5,32,1,17,164
GT,RR,13,96,7,20,150
CSK,RCB,10,75,3,20,189
SRH,PBKS,6,44,4,12,119
GT,DC,5,39,4,11,79
